0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
NAALADL2	DPP4	PROS1	ITPR2	SULT2B1	CTSS	HMGCS1	TM4SF4	SULF2	MCTP1	RABAC1	MGME1	S100A10	SULF2	BPTF	SSFA2	MSI2	MLEC
JUND	NUDC	PRKCA	FRY	LMNB1	NUDC	KDM5B	HOXB3	PLA2R1	TMC4	SERINC2	PPIH	CCNB1	VSIG2	S100A10	PPFIBP1	F5	ZNRF3
SELENOW	KIF13A	PRKDC	FGF9	EXOSC8	ATP9A	ACYP1	AHNAK	SIPA1L2	KYNU	PIK3AP1	MYLK	RTKN2	UBC	CA12	QPCT	TESC	KIF9
UBC	PRKCA	EPB41L1	CCDC18	TTK	SFPQ	NFKBIZ	MAN1A1	TOPBP1	MUC13	SUZ12	KIF22	PIF1	HMGCS1	PIK3R1	CCDC34	DDX60L	SPAG1
IQGAP2	CMSS1	ARHGAP18	CHEK1	HMGN2	PPIH	PARP14	STAT1	CHRNA5	RNF24	SLC1A1	LRP8	PAPSS2	SLF2	PPIH	H2AFJ	OAS3	MX1
ASPH	SMCHD1	IQGAP2	WDR76	SNCG	PLA2G16	NOSTRIN	PDGFC	CA12	H2AFJ	SULF2	MUC13	RIF1	PLK2	EZH2	RNASEH2B	USH1C	CA8
SLF2	EML4	NFKBIZ	SULT2B1	NUDC	TRNP1	KIF9	PLA2G16	XAF1	MLEC	INSIG1	ANP32E	OIP5	RFC1	TSPAN8	TSPAN8	SLC39A10	CTSC
FRY	ANP32B	INPP1	VRK1	DEPDC1	HSD17B2	DYNLL1	MSI2	PTPRK	PRKCA	CFTR	ITPR2	CEP152	PSAT1	HS3ST1	MAOA	SYNE2	FBP1
MAN1A1	PLCE1	ACSL5	SNCG	NCAPH	ARHGEF1	DNAJC9	TBXAS1	EPB41L1	PLCB4	SP110	HMGN3	F5	ATXN1	MALAT1	PLK2	ZWILCH	SLC12A2
NFKBIZ	ONECUT2	HS3ST1	LMNB1	SMC2	IFI6	LAMB1	BCAS1	RPS6KA5	OAS3	MYB	SASS6	TMEM106C	NUCKS1	PLK4	ARHGAP23	HSD17B2	HMGB3
FOXO1	SMC3	SMC6	TUBA1B	KIF23	PLK2	CEP126	ANXA13	IFI6	ARID5B	TRIOBP	RBL1	KIF2C	ARID5B	LRP8	GEN1	LAP3	MAOA
PIK3AP1	SULT2B1	MTIF3	AURKB	BCAS1	MINDY2	KRT20	KIF9	COLCA2	TBC1D17	LAP3	ST3GAL1	HNF1B	PIK3AP1	SNCG	PPM1G	ITPR2	XAF1
RPS6KA5	NOSTRIN	MX1	SGO2	KNTC1	CEP126	MLXIP	TRIOBP	PRKCA	SMC3	SYNE2	CEP152	SULT2B1	EEF1B2	DIAPH3	SNCG	MX2	SYNE2
MEIS2	ACYP1	RIF1	NUDC	PSIP1	TBC1D17	PRKCA	SP140L	MX1	SLC39A10	NEURL1	NUDT4	CIT	AKAP7	SAMHD1	HS3ST1	TPM2	ALDH7A1
PLEKHB1	TRIOBP	EEF1B2	STIL	HNRNPAB	VSIG2	TSPAN1	GDA	DDX60L	S100P	IPO5	LAMB1	PON2	IVNS1ABP	TACC3	SMC6	TMEM245	MLXIP
SULT2B1	PUS7	LAMB1	CKAP5	WDHD1	BACE2	NUDC	PLEKHB1	NUDC	MX1	PLA2R1	PLK2	KIFC1	SP140L	ARL6IP6	CBX5	MAOA	FMNL2
MTIF3	GPRIN3	KCTD3	EPB41L1	TTF2	WDR3	PLA2G4A	SRM	ITGA3	RFC1	PLCB4	STIL	PRKDC	ZNF141	ENC1	PHIP	PLA2R1	UFC1
MYOF	S100P	KIF13A	ENC1	GNAI1	SEMA3E	TRIM2	TNS4	CD82	H2AFV	LPIN1	TACC3	KIF23	CDKN2A	OIP5	SLF2	HS3ST1	AAMDC
