0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SLC12A2	RIPK2	HMGCS2	XRCC4	UBE2S	PGM3	ABCA1	MRPS6	TBXAS1	PDZRN3	HPCAL1	CFTR	RMI1	CEP126	TBC1D31	CTNNAL1	CCDC88A	CDC14A
PARD3B	PFKP	PLD1	FOXM1	ZNF143	HYOU1	TFPI	NEBL	TAF1D	NOVA1	RAB37	NCAPH	KCNK1	CCDC34	NEDD4	NEBL	CTSS	ARHGEF9
CFAP44	DDX60	CAPRIN2	NCAPG2	ZC3HAV1	FDPS	ODF2L	ERN1	IFT81	CHRM3	KSR2	RAB27A	AP001453.2	CDK6	HMGCS1	PRIM1	PAPSS2	ST18
BHLHE40	GSN	UBC	MPHOSPH9	NUB1	VCP	ARHGAP29	RABAC1	HMGN2	NEO1	IL4R	WEE1	PTMA	GPRIN3	GCAT	CMSS1	CDKN2B	CDHR3
IDI1	ZNF562	RHBDL2	ARHGAP11A	KNL1	CALM1	IRS1	LPIN2	RPAP2	CXXC4	GALNT5	SPC25	RRBP1	DEPTOR	GSTK1	PJA2	ATXN1	RFX6
ARID5B	MUC17	TRNP1	CIT	TTF2	CALB2	ATAD5	FDPS	INPP1	PROS1	EML6	TK1	C12orf49	SEMA3E	INPP1	CALB2	NTN4	LRRTM3
ZNF704	C4BPB	SPNS2	AURKA	TBC1D31	SESN2	APLP2	SQLE	SNTB1	MEGF9	E2F3	SLC44A3	VSIG2	TMEM263	H2AFJ	OSER1	TCEAL9	ZNF273
RERE	MDK	PARD3B	CCNA2	OIP5	KDM1A	CCNI	SEMA3B	NR2F1	KIAA1211	SLC16A7	POLQ	IMMP1L	CA2	DPYD	UBE2C	PLEKHA4	HID1
AGR2	SEL1L3	KLK6	FYN	MCM4	AMN1	PARM1	LGR4	NT5DC2	CCNJL	MYRIP	MCM6	ERAP2	CPLANE1	PLD1	PSMB2	NEO1	STXBP5L
S100A10	NEAT1	TNFSF15	TNS4	C5orf34	LYPD6B	LPCAT2	CALM1	TSPAN8	PLEKHA8	TNFAIP8	CD44	BRD8	FAM177B	ZFP36L1	LYPD6B	TAPBP	ZNF253
OTULINL	IFIT1	C12orf49	KRT17	C12orf57	AKR1C3	TRAF3IP1	MVD	ETS2	TUT4	RGS12	CENPJ	NEO1	BDNF	PRKDC	PKM	MAP2	CEP162
FRY	PLXDC2	DPYSL2	CEP152	VCP	BLVRB	A4GALT	SQSTM1	PPARG	GNE	ROBO2	BLM	CAPG	ADD3	BCAR3	XXYLT1-AS2	STAT1	DLG5
EXPH5	TXNRD1	ADH6	C5orf34	AP001453.2	ANP32E	RABAC1	EXPH5	GRAMD1B	CSRNP3	ZNF708	FARP1	PTPN13	PKDCC	LPCAT2	NCAPH	SELENOW	ETV1
MAML2	IBTK	STAT1	DCBLD2	RGS12	IL6R	PODXL	KDM1A	KRT19	ITGB8	CDC42EP5	CIP2A	IFT122	PRKACB	DDX58	FAM114A1	IFI44L	DLL1
AKAP9	TRIB3	PKM	CDCA8	RSRC1	CLDN1	LGALS3	NFKBIZ	FYN	BDH2	HIPK2	MRE11	PSMC4	ZHX3	ANXA2	FANCL	EPB41L2	SPATA17
RABAC1	ENG	ARF4	WEE1	FAM174B	EXPH5	CREB3L4	CDKN2B	SRGAP1	SORBS2	GNE	MDC1	PLK2	UTRN	SCP2	ACAT2	TSPAN8	SYT17
FAM91A1	GIPR	TMSB10	NUCKS1	KIF11	ERAP2	SSFA2	FDFT1	SERINC2	SMPDL3B	SLCO5A1	SLC39A8	HLA-C	DIXDC1	MCM3	NUF2	GHITM	PPP1R14C
PHF21A	GCKR	LGALS4	ASRGL1	SAMD9	MRPS6	DEK	ELL2	ARSJ	CPLANE1	RAMP1	DEPDC1B	SLC25A36	HSD17B12	SMARCAD1	INPP1	SERPINE2	SLC6A16
ADGRG6	ITGA3	ERN1	MKI67	VSIG2	HSP90B1	SPTBN1	GOLT1B	SLC12A2	ITPR2	LNX1	MYRFL	ATP6V0A1	PREP	CRYBG1	DDIT3	TGFB2	HIST1H2BD
ADAM22	HSPD1	LIG1	KIFC1	PARP9	RCN2	TMEM255B	SLC7A11	A4GALT	PLPP1	ZBTB10	LRRC49	POLR2L	CXXC4	NCAPG2	FAM107B	ADGRG6	FRA10AC1
FGF9	ASAH1	ACTG1	ANXA1	TACC3	TMEM106B	FARP1	PGM3	IP6K2	LAMB1	SP110	TPX2	AGR2	CD46	BLM	WEE1	SLC16A1	NEURL1
MBNL2	PDLIM7	SLC7A11	RAD21	PMEPA1	ZNF83	SCEL	GEM	GPRIN3	NREP	SLC22A23	BUB1	MASTL	AOC1	CDK1	BLVRB	CD9	VPS13A
SLC7A1	TTR	STXBP4	PRSS3	BTG3	CREB3L2	RNF24	SDCBP	CCNI	CRYBG1	STXBP6	KIF4A	HSD17B2	CDCA7	APOL6	TOP1	BMF	ITGB8
MLXIP	LDHA	AKAP7	CCNB2	SORT1	SPINK1	DYNLL1	ARAP2	ACTG1	SLC44A3	IHH	ESPL1	CHD6	MLF1	TMSB10	SYT13	HIST1H2BC	FBXO32
BMP4	PERP	SPC25	MELK	CCNB1	ERN1	PTGS2	CDCP1	MAML2	KIDINS220	GPR173	E2F3	YPEL2	KCNJ3	ARID5B	GCLM	GCAT	TPCN1
TBXAS1	S100A10	SP100	CENPK	SPDL1	GPAT3	SEMA3A	MCTP1	FOXP4	FAM174B	DNAJC1	ADAMTS6	ATP2B1	NBAS	GNAI1	SSFA2	TCTN1	GPR173
CDK6	FBXO32	CLPTM1L	LMNB1	NUSAP1	HIST1H2AC	MLF1	PDS5B	ZNF195	ATP1B1	SLC43A1	CKAP5	DLL1	CADPS2	ANXA1	BCAR3	PIN4	ACYP2
CEP290	PSMB9	NOSTRIN	HMMR	CHD6	CDKN2A	PHF11	DNAJC12	LPP	HOXC4	FUT3	EPB41L2	KRT23	SSFA2	SLC7A11	TEX30	COTL1	NREP
AUTS2	HSPA8	PPFIBP1	RAB27A	OAS3	HSPH1	PRNP	CXXC5	MCF2L	ARHGAP24	DNMT3A	FANCL	EFNB2	GRB10	KLF4	ROCK2	ZFP36L1	SLC4A4
PITPNC1	STXBP4	ATP1B1	H2AFV	KIF20A	NFATC2	FRA10AC1	ATP6V0A1	MIR222HG	SOGA1	CCDC149	NASP	ARF4	LPP	MLPH	MICAL2	PRSS2	FSIP2
SLC1A1	SLC12A7	STXBP6	GPRC5A	MLXIP	IGFL2-AS1	CEP290	FEM1C	ANXA2	TSPAN13	CACNA2D2	SPDEF	CNN3	PPARG	SH3KBP1	HMMR	KLK6	SH3PXD2A
TMPRSS4	COL17A1	RPL28	CKAP5	NEDD1	SLFN5	NUCB2	OPTN	IVNS1ABP	DIXDC1	DECR1	NR4A1	MAPKAPK2	CEMIP	SPTBN1	FANCI	DHX58	DOCK4
ROCK2	ZSWIM8	MBNL2	ACER3	CCNA2	PDIA5	TMEM45B	LMO7	NT5E	NAV1	ATP10D	MCM2	NTSR1	MARCH3	CALB2	ASNS	TESC	ZNF254
CREB5	FAM25A	STAT2	PLEKHH2	MYB	NUB1	PARP14	PKIB	SHF	CGNL1	ZNF195	PRRG4	HIST1H2BD	SCIN	MAN1A1	ARFGAP3	RPL28	PCMTD1
BDNF	MSN	CD200	MFGE8	PRC1	COL18A1	TGM2	RNF24	SLC4A7	PROX1	SLC36A4	SOX6	MCM7	MBNL2	CTTNBP2	TOPBP1	ABHD2	SLC29A4
