HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
BHLHE41	STXBP4	ABL1	RALGAPA2	SOS1	UGCG	FNDC3A	FBXO32	SERPINB1	RFX3	SDCBP	MPC1	GMDS	CLPTM1L	ZNF143	DNAAF4	SRM	PDE3B	PDZK1	SYNE2	HEPH	ATAD2B	ZNF217	CDA	VMP1	HPCAL1	TM4SF4	KCNH8	GTSE1	SPINK1	ST6GAL1	LINC02300	CDC25C	PLA2G4A	UNG	PARM1
SEZ6L2	RPS6KA2	SLC36A4	CCDC149	PER2	SPAG9	ITM2B	PLA2G16	SELENOW	SLC36A4	SARS	AGR2	FOXP2	ZBTB46	BIRC5	CFTR	CDKN2A	INCENP	PROS1	GSN	KRT8	MAML2	USP37	PLD1	MSH2	JMY	ARRDC4	DTYMK	FAM174B	MAGED1	ARSJ	C4BPB	FAM174B	CA12	LINC00920	CENPN
NR2F1	AC008736.1	CTSC	FIRRE	WHAMM	SLC20A1	IDS	AKR1C3	SEMA3E	AGMO	ANXA1	MGAT5	TRIT1	JAK2	UBE2S	SIL1	MDK	WEE1	MVD	RELB	TEX9	PCLO	FAM102A	ACSS2	MYH14	ACAT2	MSN	ZYX	LINC01572	CLDN1	YPEL1	TRIB1	CPVL	SLC27A2	DNMT3A	NUF2
SELENOW	AAMDC	KDM5B	TUT4	TLE4	SEL1L	KLF5	ARID4B	TCEAL9	MAML3	TUT4	VPS13C	ETS1	PMEPA1	CHD4	ISG15	TGM2	PRRG4	HOPX	GEM	SLC36A4	CEMIP	VMP1	ASPH	JUND	CALB2	JUND	GALNT7	KIF20B	AZGP1	GALNT7	LAMA3	PIMREG	USH1C	NR4A2	EZH2
BMP4	CASP6	PDE3B	SERP2	UBN2	FEM1C	CFH	UGDH	ZNF66	FBXO32	TACC3	GRB10	SHANK2	JPT1	ARRDC3	TRIM2	RSAD2	SKA2	ROR1	BCAS1	ST6GAL1	AL450992.1	TFRC	TRAK2	TNNC2	MVD	LGALS2	IFIT1	DDX10	CTNNAL1	C12orf42	SLC29A4	SGO2	SEMA3A	ISL1	STIL
TM4SF4	MT1E	SSBP3	RARRES1	XRN1	HIST1H2AC	CALU	ITPKA	DECR1	MAP2	PER2	DCBLD2	DECR1	DYNC2H1	CKAP5	MYADM	ITPKC	SSFA2	TSPAN1	F5	CREB5	GMDS	CYP39A1	CCL20	TOP2A	TRIB3	JDP2	TBCK	MIRLET7BHG	TMEM106B	TNS3	SAT1	XAF1	NT5E	IBTK	ZNF704
IDS	SPNS2	SMARCAD1	IL33	KDM6B	PGM3	DDX39A	KIF22	ANXA10	LINC01572	AC103702.2	ZFAND2A	IDH2	TUT4	WDR26	TSC22D1	KIF22	CLSPN	IBTK	EIF5	MCF2L	PARD3B	CTTNBP2NL	ANXA3	DDX60L	SULT2B1	VEGFA	INSR	EDN1	CENPJ	SLC38A11	RABGAP1L	TPX2	TMEM131L	CLEC3A	USP37
SNHG15	ERN1	AKAP9	NOVA1	TSHZ1	LAMA3	HKDC1	SERINC2	SLC3A2	CNTNAP2	TYMP	ABHD2	SFPQ	GRAMD1A	NUF2	CRABP2	CYP3A5	CENPK	HNF4A	LMAN1	ZNF124	ZNF615	CTNNAL1	PLA2R1	TSPAN1	MCUB	PBXIP1	SLCO5A1	HMMR	UBC	PCMTD1	CYP3A5	INCENP	SEMA3E	BCAR3	NSD2
REV3L	TSPAN1	GSDMB	RGS2	MLXIP	DAAM1	CASP6	ASNS	LGALS4	MS4A8	OIP5	SEC24D	IFT81	CREB3L4	EEFSEC	SEMA3C	ZBTB46	CDC45	NFKBIZ	ASPH	HIPK2	HNF1B	TLE4	DST	PERP	SMIM31	LGALS4	RGS12	NCAPG	CMSS1	SPTLC3	ANKRD29	BORA	CREB3L1	MAP4K4	LMNB1
IFT81	CTH	KIAA1549	ZNF480	FAM214A	GPCPD1	TXNRD1	ARHGAP18	SRM	TFDP2	LURAP1L	ITGA3	PTPRN2	CLEC3A	CENPE	HNF4A	ATF5	NR4A1	IVNS1ABP	CDKN2A	SPATA17	SORBS2	SP110	EREG	SH3KBP1	MAGED1	CAST	ARID3A	BIRC5	ZSCAN16-AS1	TNFRSF11B	KCNC3	DLGAP5	MAP3K4	MBOAT2	KNL1
